name,uid,description,author,pages,price,"isbn	"
Cosy Kids- Capital & Small Letters,ARW000018,Capital and Small abc writing practice book,A Team of Experienced Teachers,136,324.90,978-93-85785-13-9
Cosy Kids-Numbers - 1 to 100,ARW000019,Numbers 1 to 100 writing practice book,A Team of Experienced Teachers,120,324.90,978-93-85785-14-6
All In One - Nursery,ARW000020,"A Textbook for Nursery with English, Maths and EVS term wise",Pramila Enoch,80,284.90,978-93-86368-69-0
All In One - Nursery - WorkBook,ARW000021,"A Workbook for Nursery with English, Maths and EVS term wise",Pramila Enoch,136,349.90,978-93-86368-70-6
ABC For Beginners,ARW000022,ABC letters recognization for Nursery,A Team of Experienced Teachers,32,149.90,0
My Book of ABC,ARW000023,ABC letters recognization for Nursery,A Team of Experienced Teachers,36,124.90,0
Write ABC (Capital),ARW000024,Capital abc writing practice book,A Team of Experienced Teachers,56,149.90,0
Write abc (Small),ARW000025,Small abc writing practice book,A Team of Experienced Teachers,56,149.90,0
Write ABC (Cap & Small),ARW000026,Cap & Small & writing practice book,A Team of Experienced Teachers,56,149.90,0
Picture Dictionary,ARW000027,Recognization of pictures,A Team of Experienced Teachers,48,224.90,0
Melody Rhymes-1,ARW000028,Rhymes book for LKG,A Team of Experienced Teachers,24,124.90,0
Melody Rhymes-2,ARW000029,Rhymes book for UKG,A Team of Experienced Teachers,24,124.90,0
English Primer - A,ARW000030,English Textbook for LKG,Prof. P. Madhavan,48,174.90,0
English Primer - B,ARW000031,English Textbook for UKG,Prof. P. Madhavan,56,189.90,0
English Primer - B ( W/B),ARW000032,English Practice book for UKG,Prof. P. Madhavan,40,124.90,0
Numbers 1-20,ARW000033,Numbers 1 to 20 practice book,A Team of Experienced Teachers,48,149.90,0
Numbers 1-50,ARW000034,Numbers 1 to 50 practice book,A Team of Experienced Teachers,56,149.90,0
Numbers 1-100,ARW000035,Numbers 1 to 100 practice book,A Team of Experienced Teachers,64,149.90,0
Hindi-Nanhi Kilkariya - 1,ARW000036,Hindi Rhymes for LKG,Reema Sahay,24,124.90,0
Hindi-Nanhi Kilkariya - 2,ARW000037,Hindi Rhymes for UKG,Reema Sahay,24,124.90,0
Hindi Aksharamala,ARW000038,Hindi Letters recognization for Nursery and LKG,A Team of Experienced Teachers,24,124.90,0
Hindi Varnamala,ARW000039,Hindi Letters practice book for Nursery and LKG,A Team of Experienced Teachers,56,149.90,0
Telugu Aksharamala,ARW000040,Telugu Letters recognization for Nursery and LKG,A Team of Experienced Teachers,24,124.90,0
Telugu Varnamala,ARW000041,Hindi Letters practice book for Nursery and LKG,A Team of Experienced Teachers,56,149.90,0
Panorama - English MCB - 1,ARW000042,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Neha Wahi and Jyothi Swaroop,136,389.90,978-93-86368-00-3
Panorama - English MCB - 2,ARW000043,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Neha Wahi and Jyothi Swaroop,144,404.90,978-93-86368-01-0
Panorama - English MCB - 3,ARW000044,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Kala Ramanathan and Jyothi Swaroop,144,419.90,978-93-86368-02-7
Panorama - English MCB - 4,ARW000045,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Kala Ramanathan and Jyothi Swaroop,160,434.90,978-93-86368-03-4
Panorama - English MCB - 5,ARW000046,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Sadhana Roy Kapur and Jyothi Swaroop,160,449.90,978-93-86368-04-1
Panorama - English MCB - 6,ARW000047,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Sadhana Roy Kapuri and Jyothi Swaroop,176,459.90,978-93-86368-06-5
Panorama - English MCB - 7,ARW000048,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Rajalakshmi Padmanabhanand Jyothi Swaroop,176,459.90,978-93-86368-08-9
Panorama - English MCB - 8,ARW000049,"Panorama 1- 8 adopts a skill based approach to English Language Learning. 
The course in English is designed to equip, enable, and empower learners with English language skills. Focus is on the LSRW skills, grammar, vocabulary, pronunciation, spelling and usage. An integral feature is the practice of the functional use of language in everyday situations under the Communication section.",Rajalakshmi Padmanabhan and Jyothi Swaroop,176,459.90,978-93-86368-09-6
