name,uid,description,author,pages,price,"isbn	"
English Plus Reader - 1*,ARW000050,"English Plus+ by Arrow Publications Pvt Ltd is a series of English Textbooks for Classes I to V designed to achieve specifi c learning objectives of language learning as stated by NCF-FS 2022 (Foundation Stage for classes 1-2) and NCF-SE 2023 (Preparatory Stage for classes 3-5). Th e series employs a variety of tools and techniques to help learners develop effective  ommunication skills, literary, creative and cognitive capacities, and expanded cultural awareness.
Th e series has a multi-skill approach to English language learning with all the elements of language such as listening, speaking, reading, writing, vocabulary, structure and grammar integrated so as to facilitate the larger goal of language acquisition.  ",Padmini Sameeran,128,359.90,978-93-87359-43-7
English Plus Reader - 2*,ARW000051,"English Plus+ by Arrow Publications Pvt Ltd is a series of English Textbooks for Classes I to V designed to achieve specifi c learning objectives of language learning as stated by NCF-FS 2022 (Foundation Stage for classes 1-2) and NCF-SE 2023 (Preparatory Stage for classes 3-5). Th e series employs a variety of tools and techniques to help learners develop effective  ommunication skills, literary, creative and cognitive capacities, and expanded cultural awareness.
Th e series has a multi-skill approach to English language learning with all the elements of language such as listening, speaking, reading, writing, vocabulary, structure and grammar integrated so as to facilitate the larger goal of language acquisition.  ",Padmini Sameeran,136,369.90,978-93-87359-86-4
English Plus Reader - 3*,ARW000052,"English Plus+ by Arrow Publications Pvt Ltd is a series of English Textbooks for Classes I to V designed to achieve specifi c learning objectives of language learning as stated by NCF-FS 2022 (Foundation Stage for classes 1-2) and NCF-SE 2023 (Preparatory Stage for classes 3-5). Th e series employs a variety of tools and techniques to help learners develop effective  ommunication skills, literary, creative and cognitive capacities, and expanded cultural awareness.
Th e series has a multi-skill approach to English language learning with all the elements of language such as listening, speaking, reading, writing, vocabulary, structure and grammar integrated so as to facilitate the larger goal of language acquisition.  ",Padmini Sameeran,152,379.90,978-93-87359-23-9
English Plus Reader - 4*,ARW000053,"English Plus+ by Arrow Publications Pvt Ltd is a series of English Textbooks for Classes I to V designed to achieve specifi c learning objectives of language learning as stated by NCF-FS 2022 (Foundation Stage for classes 1-2) and NCF-SE 2023 (Preparatory Stage for classes 3-5). Th e series employs a variety of tools and techniques to help learners develop effective  ommunication skills, literary, creative and cognitive capacities, and expanded cultural awareness.
Th e series has a multi-skill approach to English language learning with all the elements of language such as listening, speaking, reading, writing, vocabulary, structure and grammar integrated so as to facilitate the larger goal of language acquisition.  ",Padmini Sameeran,152,389.90,978-93-87359-24-6
English Plus Reader - 5*,ARW000054,"English Plus+ by Arrow Publications Pvt Ltd is a series of English Textbooks for Classes I to V designed to achieve specifi c learning objectives of language learning as stated by NCF-FS 2022 (Foundation Stage for classes 1-2) and NCF-SE 2023 (Preparatory Stage for classes 3-5). Th e series employs a variety of tools and techniques to help learners develop effective  ommunication skills, literary, creative and cognitive capacities, and expanded cultural awareness.
Th e series has a multi-skill approach to English language learning with all the elements of language such as listening, speaking, reading, writing, vocabulary, structure and grammar integrated so as to facilitate the larger goal of language acquisition.  ",Padmini Sameeran,160,399.90,978-93-87359-99-4
Grammar Treasure - 1,ARW000055,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,96,324.90,978-93-87327-78-8
Grammar Treasure - 2,ARW000056,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,104,324.90,978-93-87327-79-5
Grammar Treasure - 3,ARW000057,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,112,334.90,978-93-87327-81-8
Grammar Treasure - 4,ARW000058,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,120,334.90,978-93-87327-82-5
Grammar Treasure - 5,ARW000059,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,128,334.90,978-93-87327-83-2
Grammar Treasure - 6,ARW000060,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,128,349.90,978-93-87327-84-9
Grammar Treasure - 7,ARW000061,Grammar Treasure is a graded series which has been designed to help young learners acquire profi ciency in English through a skill-based approach to language learning.,Padmini Sameeran,136,349.90,978-93-87327-85-6
